 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
1958-02-20 16:00:00.000 051       -28.00
1958-02-20 17:00:00.000 051       -30.00
1958-02-20 18:00:00.000 051       -37.00
1958-02-20 19:00:00.000 051       -52.00
1958-02-20 20:00:00.000 051       -61.00
1958-02-20 21:00:00.000 051       -63.00
1958-02-20 22:00:00.000 051       -57.00
1958-02-20 23:00:00.000 051       -50.00
1958-02-21 00:00:00.000 052       -45.00
1958-02-21 01:00:00.000 052       -48.00
1958-02-21 02:00:00.000 052       -48.00
1958-02-21 03:00:00.000 052       -35.00
1958-02-21 04:00:00.000 052       -32.00
1958-02-21 05:00:00.000 052       -49.00
1958-02-21 06:00:00.000 052       -50.00
1958-02-21 07:00:00.000 052       -58.00
1958-02-21 08:00:00.000 052       -46.00
1958-02-21 09:00:00.000 052       -41.00
1958-02-21 10:00:00.000 052       -41.00
1958-02-21 11:00:00.000 052       -38.00
1958-02-21 12:00:00.000 052       -33.00
1958-02-21 13:00:00.000 052       -32.00
1958-02-21 14:00:00.000 052       -44.00
1958-02-21 15:00:00.000 052       -38.00
1958-02-21 16:00:00.000 052       -37.00
1958-02-21 17:00:00.000 052       -41.00
1958-02-21 18:00:00.000 052       -50.00
1958-02-21 19:00:00.000 052       -50.00
1958-02-21 20:00:00.000 052       -48.00
1958-02-21 21:00:00.000 052       -48.00
1958-02-21 22:00:00.000 052       -41.00
1958-02-21 23:00:00.000 052       -42.00
1958-02-22 00:00:00.000 053       -38.00
1958-02-22 01:00:00.000 053       -42.00
1958-02-22 02:00:00.000 053       -39.00
1958-02-22 03:00:00.000 053       -36.00
1958-02-22 04:00:00.000 053       -33.00
1958-02-22 05:00:00.000 053       -30.00
1958-02-22 06:00:00.000 053       -34.00
1958-02-22 07:00:00.000 053       -34.00
1958-02-22 08:00:00.000 053       -33.00
1958-02-22 09:00:00.000 053       -32.00
1958-02-22 10:00:00.000 053       -37.00
1958-02-22 11:00:00.000 053       -30.00
1958-02-22 12:00:00.000 053       -32.00
